internship_title,company_name,location,start_date,duration,stipend,sector_name,field_name,skills_set,detailed_description
Social Media Marketing,Onweb Nilesh,Thane,Immediately,1 Month,"₹ 3,000-6,000 /month",IT and Software Development,Digital Marketing & SEO/SEM,"Social Media Strategy, Content Creation, Instagram Marketing, Analytics",Plan and execute engaging social media campaigns to boost brand visibility. Monitor digital metrics and interact with online communities to drive audience engagement.
QA Testing,Ioninks,Work From Home,Immediately,1 Month,"₹ 6,000 /month",IT and Software Development,Software Engineering,"Manual Testing, Automation Testing, Bug Tracking, Quality Assurance",Execute test cases to identify software bugs and ensure product reliability. Collaborate with developers to document issues and verify fixes prior to deployment.
E-commerce Operations,ECOM JOURNEY,Delhi,Immediately,1 Month,"₹ 8,000 /month",Retail & Consumer Durables,E-Commerce Operations & Catalog Management,"Catalog Management, Inventory Tracking, Vendor Coordination, E-commerce Platforms","Manage product listings, descriptions, and pricing across online e-commerce platforms. Coordinate order fulfillment processes and ensure catalog accuracy."
Motion Graphics,Creatiwise,Work From Home,Immediately,1 Month,"₹ 8,000-15,000 /month","Media, Entertainment & Education",Video Production & Motion Graphics,"After Effects, Motion Design, Visual Storytelling, Animation",Create engaging motion graphics and visual effects for diverse client projects. Work closely with the creative director to transform ideas into captivating animations.
Accounting & Tally,MODERN PRODUCTS,Bangalore,Immediately,1 Month,"₹ 20,000-25,000 /month",Manufacturing & Industrial,Auditing & Taxation,"Tally Prime, Accounting, Tax Compliance, Ledger Reconciliation","Handle day-to-day accounting transactions, invoice generation, and ledger reconciliations using Tally. Ensure compliance with corporate tax policies and financial record keeping."
Survey Executive,DBCB Realty,Bangalore,Immediately,1 Month,"₹ 6,000-8,000 /month",Housing,Business Analytics & Market Research,"Data Collection, Market Survey, Real Estate Analysis, Field Work",Conduct on-ground surveys and collect data related to real estate markets and properties. Analyze survey findings to generate insights for upcoming residential and commercial projects.
Digital Marketing,FLEECA INDIA PRIVATE LIMITED,Jaipur,Immediately,1 Month,"₹ 3,000-10,000 /month","Automotive, IT and Software Development","Digital Marketing & SEO/SEM, B2B Sales & Key Account Management","SEO, Social Media Marketing, Google Analytics, Content Writing","You will assist in planning and executing digital marketing campaigns to enhance brand visibility for Fleet management solutions. Responsibilities include managing social media channels, analyzing campaign metrics, and optimizing SEO strategies."
Social Media Marketing,Profilify,Work From Home,Immediately,1 Month,"₹ 1,000 /month +  Incentives","IT and Software Development, Media, Entertainment & Education","Digital Marketing & SEO/SEM, Social Media & Community Management","Social Media Management, Content Creation, Copywriting, Analytics","You will create and curate engaging content for various social media platforms to boost audience engagement. Day-to-day tasks include scheduling posts, interacting with the online community, and tracking performance analytics."
Business Development (Sales),Callahan Diseno,Work From Home,Immediately,1 Month,"₹ 9,000 /month","Consulting Services, Retail & Consumer Durables","B2B Sales & Key Account Management, Client Relationship Management (CRM)","Lead Generation, Communication, Negotiation, Sales Strategy","You will identify prospective clients and build strong business relationships to drive sales growth. Responsibilities involve pitching services, following up on leads, and meeting target conversion goals."
Business Development (Sales),Laxit Communications Private Limited,Thane,Immediately,1 Month,"₹ 15,000 /month +  Incentives","Telecom, Consulting Services","B2B Sales & Key Account Management, Client Relationship Management (CRM)","Communication, Lead Generation, Client Interaction, Sales Management","You will actively seek out new sales opportunities through networking and cold calling within the telecom sector. Tasks include presenting company solutions, negotiating contracts, and maintaining client databases."
Business Development (Sales),DCNPL Private Limited,Indore,Immediately,1 Month,"₹ 3,000-5,000 /month","Infrastructure & Construction, Consulting Services","B2B Sales & Key Account Management, Strategy & Corporate Development","Market Research, Lead Generation, Negotiation, Sales Pitching","You will assist the business development team in identifying real estate and infrastructure projects for expansion. Responsibilities include market research, client outreach, and preparing sales proposals."
Sales,Phamax Analytic Resources,Bangalore,Immediately,1 Month,"₹ 10,000 /month","Healthcare, Consulting Services","B2B Sales & Key Account Management, Business Analytics & Market Research","Market Research, Sales Strategy, Data Analysis, Communication","You will support the commercial team by analyzing pharmaceutical markets and identifying prospective business clients. Duties include generating sales leads, coordinating with research teams, and pitching analytical services."
PHP Development,SoftSolvate,Delhi,Immediately,1 Month,"₹ 4,000-7,000 /month",IT and Software Development,"Full Stack Web Development, Software Engineering","PHP, MySQL, HTML/CSS, JavaScript","You will develop and maintain backend services and dynamic websites using PHP and related web technologies. Day-to-day tasks involve writing clean code, troubleshooting bugs, and collaborating with frontend developers."
Company Secretary (CS),Arin Consultancy Private Limited,Mumbai,Immediately,1 Month,"₹ 10,000-15,000 /month","Banking and Financial Services, Consulting Services","Company Secretarial & Corporate Compliance, Corporate Legal Affairs & Contract Management","Corporate Law, Compliance, Drafting, Secretarial Practices","You will assist in ensuring corporate governance and regulatory compliance with company law standards. Responsibilities include maintaining statutory registers, drafting corporate documents, and preparing board meeting materials."
Graphic Design Cum Video Editing,Edze Soft Private Limited,Hyderabad,Immediately,1 Month,"₹ 7,000 /month","IT and Software Development, Media, Entertainment & Education","Graphic Design & Visual Communication, Video Production & Motion Graphics","Adobe Photoshop, Adobe Premiere Pro, Video Editing, Graphic Design","You will design promotional graphics and edit engaging video content for various digital channels. Tasks involve working with design software, editing footage, and aligning visuals with brand guidelines."
Social Media Marketing,InterGreat Education Private Limited,Work From Home,Immediately,1 Month,"₹ 7,000 /month","Media, Entertainment & Education","Digital Marketing & SEO/SEM, Social Media & Community Management","Social Media, Content Marketing, SEO, Communication","You will promote educational services through targeted social media campaigns and content strategies. Responsibilities include interacting with prospective students, monitoring online trends, and evaluating campaign reach."
Social Media Marketing & Video Editing,The Pop Street,Work From Home,Immediately,3 Months,"₹ 3,000 /month","Media, Entertainment & Education, Retail & Consumer Durables","Social Media & Community Management, Video Production & Motion Graphics","Video Editing, Instagram Reels, Content Creation, Graphic Design","You will create and edit short-form video content and graphic designs for trendy social media pages. Responsibilities include brainstorming creative concepts, shooting or editing footage, and managing post schedules."
